Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
107.09369691,-6.38918691,-85.79,1.999999999999999,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-83.05700000000002,4.193399999999997,11786.233690000012,6889.881955000005
107.09368673,-6.38918735,-83.71,4.000000000000001,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-81.34229999999998,6.498099999999974,11790.692980000007,6853.141870000003
107.09366501,-6.38918726,-85.17,0.0,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-82.36900000000003,2.5524999999999824,11801.015160000012,6871.428250000007
107.09364055,-6.38918648,-84.49,0.0,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-81.67180000000003,2.5458999999999725,11775.140300000014,6894.470800000007
107.09361677,-6.38918977,-82.89,-1.999999999999999,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.31550000000001,0.8716999999999817,11684.077130000014,6780.474865000006
107.09359392,-6.38919491,-80.61,3.7500000000000004,10517.34,6012.24,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-74.92400000000002,9.309199999999977,12552.72300000002,7363.436625000014
107.09357699,-6.38920081,-82.94,0.0,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.08330000000002,2.2467999999999795,11740.257980000015,6760.066390000006
107.0935655,-6.38920546,-83.52,-0.6700000000000006,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.7976,2.253399999999972,12183.654120000008,6714.443245000005
107.09354998,-6.38921106,-82.39,9.500000000000004,10517.34,6012.24,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-76.72240000000004,14.733299999999941,12603.255600000022,7400.139000000015
107.09353246,-6.38921599,-82.24,6.0,10517.34,6012.24,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-76.60349999999995,11.040000000000015,12671.90280000002,7483.881750000013
107.09351808,-6.38921874,-83.8,8.250000000000002,10517.34,6012.24,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-78.09640000000007,13.426799999999952,12628.23984000002,7400.570625000013
107.09350252,-6.38922183,-88.08,1.999999999999999,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.2816,4.427499999999992,11611.244810000013,7014.663165000006
107.09348664,-6.38922443,-91.33,3.5000000000000004,10517.34,6012.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.55419999999998,6.128299999999984,11462.733700000012,6851.718975000007
107.09347417,-6.38922777,-91.42,3.25,10.11,13.35,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.54520000000001,6.186599999999964,760.3103200000011,845.7840599999996
107.09346298,-6.38923288,-88.16,1.7500000000000016,23.55,17.94,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.6876,4.027399999999989,1662.2459699999981,1688.4789899999985
107.09345802,-6.38924118,-84.99,1.0000000000000009,17.21,23.33,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-81.98679999999996,3.492600000000017,801.6812100000016,815.2389100000012
107.09345368,-6.38925295,-81.78,1.5000000000000013,1134.7,48.45,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-76.16370000000003,7.837999999999936,1480.4515199999992,513.4046250000004
107.09344283,-6.38926531,-77.62,1.250000000000001,2220.6,1159.37,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-72.64959999999996,6.373299999999985,2913.6002399999975,1585.4208750000018
107.09343146,-6.38928624,-81.89,-1.250000000000001,3658.05,2295.56,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-79.25710000000004,1.1976999999999745,3678.8830099999973,2008.4823599999993
107.0934257,-6.38930841,-82.78,-1.999999999999999,5764.59,2404.69,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.20050000000003,0.6074999999999806,6056.0644100000045,2391.404875000002
