Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.51914562,-7.33082753,-78.94,26.5,73984.32,23963.570000000003,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-76.68549999999999,21.493400000000015,73020.32609999998,26622.119
106.51918381,-7.33084352,-79.44,30.5,92148.94,41303.63,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-77.12070000000001,20.986500000000035,83646.109,34190.65960000002
106.51922449,-7.33086189,-77.81,29.499999999999996,61660.41000000001,34815.27,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-74.9789,22.083100000000005,59795.11210000001,32289.336399999997
106.51925212,-7.33087539,-79.38,32.0,60629.61,38402.68,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-75.65410000000001,22.028900000000007,59999.94380000002,36354.090000000026
106.51926374,-7.33088108,-79.06,27.0,63726.43,36827.4,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-75.5261,21.89310000000001,60944.32850000002,35080.51720000001
106.51934314,-7.33092419,-81.38,24.0,74238.69,66868.02,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-79.1456,20.73070000000002,71471.86190000006,36850.49840000001
106.51938366,-7.33094376,-80.5,28.500000000000004,60874.530000000006,31739.539999999997,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-76.85740000000003,21.972500000000018,60402.67300000002,29101.28569999999
106.51942223,-7.33096094,-80.19,26.0,42864.66,37386.48,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-76.77110000000002,20.123500000000003,41162.48840000004,41997.447900000014
106.51945947,-7.33097756,-82.62,27.0,64116.92999999999,35504.34,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-78.34390000000002,21.574800000000014,61741.30180000002,33119.92109999999
106.51949701,-7.33099407,-81.88,29.999999999999996,44405.71,34196.68,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-77.35556,20.16780000000001,42533.694780000005,31442.880575000007
106.51953725,-7.33101203,-79.75,22.500000000000004,63747.84,31732.810000000005,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-76.8372,20.993200000000016,62042.26050000001,29202.131099999977
106.51957902,-7.33102878,-87.25,25.5,39128.56,24093.49,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-82.767455,17.766075000000022,38768.72412,26273.84897000001
106.51962205,-7.33104579,-84.88,24.0,52308.78,19981.88,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-82.12813000000001,18.64044999999999,50346.53139999997,22570.276625
106.51966594,-7.33106513,-84.69,24.5,60480.48,22697.089999999997,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-80.70720000000001,19.861000000000008,61337.2228,26612.8884
106.51970612,-7.33108194,-79.0,26.0,97440.09,37776.64,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-76.1835,21.37290000000004,89720.19799999999,32335.419400000024
106.51974402,-7.33109713,-74.5,27.5,86878.85,41336.1,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-75.51120000000002,21.62450000000005,82091.95509999998,34321.0137
