Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.35391635,-6.30471058,-80.62,-3.0,17940.85,18802.24,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-82.07703000000004,-0.1388500000000196,19419.514099999993,21407.878525000004
106.35391248,-6.30471265,-81.5,-1.0000000000000009,35028.92,11086.1,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.95760500000002,7.874024999999994,38702.21117,9928.095580000001
106.35390688,-6.3047127,-78.06,-0.5000000000000004,39633.86,36288.1,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-81.08338499999999,6.568924999999994,38087.14068000001,33251.075574999995
106.35390357,-6.30470921,-77.69,-6.0,38893.57,76236.23,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-81.25042499999999,6.5811250000000125,38331.39118000001,38836.33871
106.35390958,-6.30470883,-75.81,-13.0,15785.959999999997,30528.38,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-83.02862499999999,-0.6611750000000095,16526.94628999999,33470.670385
106.35391889,-6.30470977,-76.75,-10.0,27944.53,22399.57,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-78.20925,4.792050000000026,29240.707260000003,23777.308254999993
106.35391755,-6.3047119,-80.44,-10.5,47369.69,72351.85,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-82.65283000000001,7.125650000000004,45828.04938000002,39578.5151
106.35391421,-6.30471628,-84.12,-5.499999999999999,45095.39,60587.85,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-84.90414500000001,5.888425000000007,42646.46266000001,40288.667969999995
106.35391013,-6.30472135,-89.19,-10.0,36468.78,52201.48,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,2,-87.82784499999998,3.3762249999999887,36327.90867000001,38960.332895000014
106.35390448,-6.30472801,-86.75,-7.000000000000001,33980.31,57956.44,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-86.60618,3.76979999999999,35224.79701000003,40314.696654999985
106.35389697,-6.30473476,-84.44,-3.0,30989.82,75284.46,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-84.62189,4.918649999999996,34139.27321000002,39643.539799999984
106.35388807,-6.3047419,-87.5,-6.5,43916.75,55208.43000000001,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.276625,4.645825,39609.57400000001,40668.43002
106.35388066,-6.30474748,-85.0,-10.5,34364.2,59548.56999999999,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-85.35468999999999,4.35364999999999,35006.79566000002,39640.949444999984
106.35387444,-6.30475191,-87.88,-10.0,40961.86,52469.920000000006,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.574625,4.040324999999994,38035.72770000001,39864.90732000002
106.35386872,-6.30475423,-89.19,-12.5,41531.3,42527.32,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,2,-88.24331,4.00354999999999,38264.60061,37736.80637
106.35386486,-6.30475456,-82.56,-9.0,28351.74,29208.18,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-81.87341499999998,3.987674999999997,29906.497790000016,28335.24562999999
106.3538608,-6.30475631,-82.75,-12.5,32825.25,46441.15,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-83.38956500000002,4.790624999999979,34610.09221000003,38907.65166999999
106.35385437,-6.30475939,-80.12,-6.0,32474.189999999995,25890.82,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-79.36346999999999,5.84125,32114.10299,25895.414369999995
106.35384264,-6.30476436,-80.19,-9.5,24084.45,13842.59,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-78.83350499999999,1.6947250000000027,24991.661660000012,14578.468189999998
106.35382628,-6.30477045,-86.0,-8.5,27541.62,17582.63,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-84.01566000000001,2.9492000000000065,30013.59349,19723.295815
106.3538091,-6.30477587,-82.75,-13.5,23319.96,14913.740000000002,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-80.35242499999998,0.950075000000009,24736.62949,20572.266145000005
106.35379277,-6.30477618,-89.56,-11.5,25544.4,18802.83,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-86.46799000000001,0.4171499999999963,29899.111629999992,20602.910420000007
106.35377383,-6.30477115,-87.0,-14.999999999999998,15509.300000000001,8680.34,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,1,-79.99677999999999,0.26730000000000687,14259.30186000001,10367.791410000002
106.35375517,-6.30476596,-87.94,-13.5,30237.75,22643.520000000004,Melakukan Beamforming dan Handover Tuning,1.0,0.0,0.0,0.0,2,-85.669495,2.1985749999999973,30786.106619999988,24381.85849
106.35373519,-6.30475927,-84.06,-13.0,28268.26,25737.73,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-82.37507000000001,3.984449999999989,29682.232240000016,26491.992255000012
