File Name,Time,MS,Longitude,Latitude,Height(m),"LTE PCC Serving PCI","LTE PCC Serving RSRP(dBm)","LTE PCC Serving SINR(dB)","LTE DL App Throughput(kbps)","LTE UL App Throughput(kbps)"
L2300 (1).gen,2024-11-16 02:19:20.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.47,15.50,,
L2300 (1).gen,2024-11-16 02:19:21.500	,MS1,106.79304017,-6.15473448,31.73,247,-71.55,19.50,7934.50,994.66
L2300 (1).gen,2024-11-16 02:19:22.500	,MS1,106.79304017,-6.15473448,31.73,247,-69.62,15.00,17888.88,6978.18
L2300 (1).gen,2024-11-16 02:19:23.500	,MS1,106.79304017,-6.15473448,31.73,247,-70.79,17.25,21358.51,10528.13
L2300 (1).gen,2024-11-16 02:19:24.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.74,15.00,24362.68,6095.25
L2300 (1).gen,2024-11-16 02:19:25.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.64,16.33,30170.82,5285.71
L2300 (1).gen,2024-11-16 02:19:26.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.04,14.50,35049.82,5744.42
L2300 (1).gen,2024-11-16 02:19:27.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.80,15.75,35895.19,5988.09
L2300 (1).gen,2024-11-16 02:19:28.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.45,15.00,30930.53,8396.30
L2300 (1).gen,2024-11-16 02:19:29.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.06,13.50,14100.69,3670.39
L2300 (1).gen,2024-11-16 02:19:30.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.55,13.50,29174.85,12990.21
L2300 (1).gen,2024-11-16 02:19:31.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.91,15.67,29764.96,7797.26
L2300 (1).gen,2024-11-16 02:19:32.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.41,14.00,25929.29,10607.34
L2300 (1).gen,2024-11-16 02:19:33.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.56,13.00,20294.10,6028.42
L2300 (1).gen,2024-11-16 02:19:34.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.24,11.25,18555.93,9497.50
L2300 (1).gen,2024-11-16 02:19:35.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.90,13.75,18451.97,8665.89
L2300 (1).gen,2024-11-16 02:19:36.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.10,13.75,23271.25,12879.07
L2300 (1).gen,2024-11-16 02:19:37.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.22,16.25,25534.82,5929.05
L2300 (1).gen,2024-11-16 02:19:38.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.32,15.67,25788.10,7401.41
L2300 (1).gen,2024-11-16 02:19:39.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.95,12.75,15797.73,1801.60
L2300 (1).gen,2024-11-16 02:19:40.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.81,14.75,22876.58,13572.16
L2300 (1).gen,2024-11-16 02:19:41.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.96,15.25,21593.36,7587.58
L2300 (1).gen,2024-11-16 02:19:42.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.35,16.25,32314.18,10885.22
L2300 (1).gen,2024-11-16 02:19:43.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.15,14.75,18731.19,6120.24
L2300 (1).gen,2024-11-16 02:19:44.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.61,16.25,23826.77,7581.31
L2300 (1).gen,2024-11-16 02:19:45.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.48,18.33,19620.52,4313.07
L2300 (1).gen,2024-11-16 02:19:46.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.15,18.50,32440.29,9739.44
L2300 (1).gen,2024-11-16 02:19:47.500	,MS1,106.79304017,-6.15473448,31.73,247,-77.96,18.25,7440.69,303.95
L2300 (1).gen,2024-11-16 02:19:48.500	,MS1,106.79304017,-6.15473448,31.73,247,-76.40,17.00,5713.30,3382.58
L2300 (1).gen,2024-11-16 02:19:49.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.12,18.50,5634.05,5318.30
L2300 (1).gen,2024-11-16 02:19:50.500	,MS1,106.79304017,-6.15473448,31.73,247,-71.85,21.00,6572.11,8480.74
L2300 (1).gen,2024-11-16 02:19:51.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.55,16.75,4053.57,3617.34
L2300 (1).gen,2024-11-16 02:19:52.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.50,17.33,3003.97,3537.88
L2300 (1).gen,2024-11-16 02:19:53.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.47,15.50,3416.57,2285.06
L2300 (1).gen,2024-11-16 02:19:54.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.07,18.00,2119.90,5282.49
L2300 (1).gen,2024-11-16 02:19:55.500	,MS1,106.79304017,-6.15473448,31.73,247,-75.16,17.25,2005.74,4666.31
L2300 (1).gen,2024-11-16 02:19:56.500	,MS1,106.79304017,-6.15473448,31.73,247,-72.70,19.00,2345.15,7116.99
L2300 (1).gen,2024-11-16 02:19:57.500	,MS1,106.79304017,-6.15473448,31.73,247,-72.49,19.75,9925.08,6783.14
L2300 (1).gen,2024-11-16 02:19:58.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.83,17.00,16380.45,9636.51
L2300 (1).gen,2024-11-16 02:19:59.500	,MS1,106.79304017,-6.15473448,31.73,247,-72.09,19.50,11967.23,5435.32
L2300 (1).gen,2024-11-16 02:20:00.500	,MS1,106.79304017,-6.15473448,31.73,247,-72.43,18.33,14800.50,8011.99
L2300 (1).gen,2024-11-16 02:20:01.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.63,20.00,20354.79,9152.58
L2300 (1).gen,2024-11-16 02:20:02.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.79,21.00,13989.29,6142.50
L2300 (1).gen,2024-11-16 02:20:03.500	,MS1,106.79304017,-6.15473448,31.73,247,-74.11,21.50,13016.79,4970.70
L2300 (1).gen,2024-11-16 02:20:04.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.65,18.75,9947.29,907.38
L2300 (1).gen,2024-11-16 02:20:05.500	,MS1,106.79304017,-6.15473448,31.73,247,-72.86,19.75,8036.91,4786.76
L2300 (1).gen,2024-11-16 02:20:06.500	,MS1,106.79304017,-6.15473448,31.73,247,-73.32,16.33,10062.79,5054.08
L2300 (1).gen,2024-11-16 02:20:07.500	,MS1,106.79304151,-6.15473334,31.76,247,-73.30,18.25,8534.97,6827.72
L2300 (1).gen,2024-11-16 02:20:08.500	,MS1,106.79304843,-6.15472961,31.89,247,-68.55,19.75,9913.08,9244.38
L2300 (1).gen,2024-11-16 02:20:09.500	,MS1,106.79305721,-6.15472427,32.02,247,-73.80,16.75,10207.81,5271.11
L2300 (1).gen,2024-11-16 02:20:10.500	,MS1,106.79306668,-6.15471428,32.01,247,-72.56,19.00,6510.45,1488.59
L2300 (1).gen,2024-11-16 02:20:11.500	,MS1,106.79307778,-6.15470311,32.03,247,-74.77,12.00,7086.05,1976.06
L2300 (1).gen,2024-11-16 02:20:12.500	,MS1,106.79308903,-6.15468808,31.98,247,-72.12,18.75,7883.06,5362.87
L2300 (1).gen,2024-11-16 02:20:13.500	,MS1,106.79309747,-6.15466947,31.87,247,-73.25,15.00,5626.84,4667.19
L2300 (1).gen,2024-11-16 02:20:14.500	,MS1,106.79310695,-6.15464644,31.96,247,-74.64,16.33,6847.01,7590.25
L2300 (1).gen,2024-11-16 02:20:15.500	,MS1,106.79311939,-6.15461636,31.91,247,-74.62,8.75,8444.39,3900.17
