File Name,Time,MS,Longitude,Latitude,Height(m),"LTE PCC Serving PCI","LTE PCC Serving RSRP(dBm)","LTE PCC Serving SINR(dB)","LTE DL App Throughput(kbps)","LTE UL App Throughput(kbps)"
L1800 (15).gen,2024-10-18 16:52:26.500	,MS1,107.09369691,-6.38918691,71.92,53,-85.79,2.00,,
L1800 (15).gen,2024-10-18 16:52:27.500	,MS1,107.09368673,-6.38918735,71.72,53,-83.71,4.00,,
L1800 (15).gen,2024-10-18 16:52:28.500	,MS1,107.09366501,-6.38918726,71.42,53,-85.17,0.00,,
L1800 (15).gen,2024-10-18 16:52:29.500	,MS1,107.09364055,-6.38918648,71.24,53,-84.49,0.00,,
L1800 (15).gen,2024-10-18 16:52:30.500	,MS1,107.09361677,-6.38918977,71.22,53,-82.89,-2.00,,
L1800 (15).gen,2024-10-18 16:52:31.500	,MS1,107.09359392,-6.38919491,71.21,53,-80.61,3.75,,
L1800 (15).gen,2024-10-18 16:52:32.500	,MS1,107.09357699,-6.38920081,71.12,53,-82.94,0.00,,
L1800 (15).gen,2024-10-18 16:52:33.500	,MS1,107.09356550,-6.38920546,70.95,51,-83.52,-0.67,,
L1800 (15).gen,2024-10-18 16:52:34.500	,MS1,107.09354998,-6.38921106,70.72,53,-82.39,9.50,,
L1800 (15).gen,2024-10-18 16:52:35.500	,MS1,107.09353246,-6.38921599,70.43,53,-82.24,6.00,,
L1800 (15).gen,2024-10-18 16:52:36.500	,MS1,107.09351808,-6.38921874,70.19,53,-83.80,8.25,,
L1800 (15).gen,2024-10-18 16:52:37.500	,MS1,107.09350252,-6.38922183,69.92,53,-88.08,2.00,,
L1800 (15).gen,2024-10-18 16:52:38.500	,MS1,107.09348664,-6.38922443,69.51,53,-91.33,3.50,,
L1800 (15).gen,2024-10-18 16:52:39.500	,MS1,107.09347417,-6.38922777,69.15,53,-91.42,3.25,10.11,13.35
L1800 (15).gen,2024-10-18 16:52:40.500	,MS1,107.09346298,-6.38923288,68.70,53,-88.16,1.75,23.55,17.94
L1800 (15).gen,2024-10-18 16:52:41.500	,MS1,107.09345802,-6.38924118,67.64,53,-84.99,1.00,17.21,23.33
L1800 (15).gen,2024-10-18 16:52:42.500	,MS1,107.09345368,-6.38925295,67.31,53,-81.78,1.50,1134.70,48.45
L1800 (15).gen,2024-10-18 16:52:43.500	,MS1,107.09344283,-6.38926531,67.15,53,-77.62,1.25,2220.60,1159.37
L1800 (15).gen,2024-10-18 16:52:44.500	,MS1,107.09343146,-6.38928624,66.84,53,-81.89,-1.25,3658.05,2295.56
L1800 (15).gen,2024-10-18 16:52:45.500	,MS1,107.09342570,-6.38930841,66.41,53,-82.78,-2.00,5764.59,2404.69
L1800 (15).gen,2024-10-18 16:52:46.500	,MS1,107.09342257,-6.38933476,65.91,53,-84.10,-4.25,475.16,1023.68
L1800 (15).gen,2024-10-18 16:52:47.500	,MS1,107.09341860,-6.38936815,65.43,53,-85.42,-5.25,4157.08,1829.48
L1800 (15).gen,2024-10-18 16:52:48.500	,MS1,107.09341250,-6.38939765,65.05,53,-89.68,-2.67,4788.08,1357.23
L1800 (15).gen,2024-10-18 16:52:49.500	,MS1,107.09340452,-6.38942778,64.58,53,-93.73,-5.25,6194.40,1602.37
L1800 (15).gen,2024-10-18 16:52:50.500	,MS1,107.09339670,-6.38945403,64.18,53,-85.15,-4.00,1514.89,1811.06
L1800 (15).gen,2024-10-18 16:52:51.500	,MS1,107.09338485,-6.38948419,63.64,249,-86.78,-16.00,8118.16,304.19
L1800 (15).gen,2024-10-18 16:52:52.500	,MS1,107.09337169,-6.38951274,63.48,249,-86.40,-14.00,4.99,395.32
L1800 (15).gen,2024-10-18 16:52:53.500	,MS1,107.09335604,-6.38953673,63.41,249,-84.02,-4.50,159.68,7483.05
L1800 (15).gen,2024-10-18 16:52:54.500	,MS1,107.09333928,-6.38955721,63.44,53,-80.88,2.00,903.05,13732.39
L1800 (15).gen,2024-10-18 16:52:55.500	,MS1,107.09332497,-6.38957539,63.26,53,-82.60,-0.33,67.54,138.36
L1800 (15).gen,2024-10-18 16:52:56.500	,MS1,107.09331061,-6.38958748,63.18,53,-81.25,2.75,596.41,3092.57
