File Name,Time,MS,Longitude,Latitude,Height(m),"LTE PCC Serving PCI","LTE PCC Serving RSRP(dBm)","LTE PCC Serving SINR(dB)","LTE DL App Throughput(kbps)","LTE UL App Throughput(kbps)"
L1800 (2).gen,2024-11-22 15:07:34.500	,MS1,106.35391635,-6.30471058,90.91,142,-80.62,-3.00,,
L1800 (2).gen,2024-11-22 15:07:35.500	,MS1,106.35391248,-6.30471265,90.46,142,-81.50,-1.00,35028.92,11086.10
L1800 (2).gen,2024-11-22 15:07:36.500	,MS1,106.35390688,-6.30471270,89.81,142,-78.06,-0.50,39633.86,36288.10
L1800 (2).gen,2024-11-22 15:07:37.500	,MS1,106.35390357,-6.30470921,89.78,142,-77.69,-6.00,38893.57,76236.23
L1800 (2).gen,2024-11-22 15:07:38.500	,MS1,106.35390958,-6.30470883,90.13,142,-75.81,-13.00,15785.96,30528.38
L1800 (2).gen,2024-11-22 15:07:39.500	,MS1,106.35391889,-6.30470977,90.43,142,-76.75,-10.00,27944.53,22399.57
L1800 (2).gen,2024-11-22 15:07:40.500	,MS1,106.35391755,-6.30471190,90.56,142,-80.44,-10.50,47369.69,72351.85
L1800 (2).gen,2024-11-22 15:07:41.500	,MS1,106.35391421,-6.30471628,89.99,142,-84.12,-5.50,45095.39,60587.85
L1800 (2).gen,2024-11-22 15:07:42.500	,MS1,106.35391013,-6.30472135,89.72,142,-89.19,-10.00,36468.78,52201.48
L1800 (2).gen,2024-11-22 15:07:43.500	,MS1,106.35390448,-6.30472801,89.90,142,-86.75,-7.00,33980.31,57956.44
L1800 (2).gen,2024-11-22 15:07:44.500	,MS1,106.35389697,-6.30473476,89.44,142,-84.44,-3.00,30989.82,75284.46
L1800 (2).gen,2024-11-22 15:07:45.500	,MS1,106.35388807,-6.30474190,89.37,142,-87.50,-6.50,43916.75,55208.43
L1800 (2).gen,2024-11-22 15:07:46.500	,MS1,106.35388066,-6.30474748,89.41,142,-85.00,-10.50,34364.20,59548.57
