File Name,Time,MS,Longitude,Latitude,Height(m),"LTE PCC Serving PCI","LTE PCC Serving RSRP(dBm)","LTE PCC Serving SINR(dB)","LTE DL App Throughput(kbps)","LTE UL App Throughput(kbps)"
L900 (2).gen,2024-12-18 01:57:04.500	,MS1,,,,367,-78.75,17.25,,
L900 (2).gen,2024-12-18 01:57:05.500	,MS1,106.78105366,-6.27952980,,367,-79.97,16.94,6466.32,1305.74
L900 (2).gen,2024-12-18 01:57:06.500	,MS1,106.78103605,-6.27957684,,367,-82.71,13.71,38187.83,18531.59
L900 (2).gen,2024-12-18 01:57:07.500	,MS1,106.78102093,-6.27962121,,367,-82.36,12.33,33311.04,17557.79
L900 (2).gen,2024-12-18 01:57:08.500	,MS1,106.78100691,-6.27966009,,367,-78.61,14.88,34743.14,17339.38
L900 (2).gen,2024-12-18 01:57:09.500	,MS1,106.78099451,-6.27969771,,367,-76.10,19.21,35284.19,8119.10
L900 (2).gen,2024-12-18 01:57:10.500	,MS1,106.78098484,-6.27973062,,367,-76.77,16.08,35223.02,13157.59
L900 (2).gen,2024-12-18 01:57:11.500	,MS1,106.78097451,-6.27976463,,367,-78.85,15.44,33759.71,14329.57
L900 (2).gen,2024-12-18 01:57:12.500	,MS1,106.78096658,-6.27979076,,367,-84.34,9.56,26451.99,12206.87
L900 (2).gen,2024-12-18 01:57:13.500	,MS1,106.78096059,-6.27980886,,367,-81.43,13.54,10658.91,5737.50
L900 (2).gen,2024-12-18 01:57:14.500	,MS1,106.78095630,-6.27982006,,367,-81.71,12.13,10711.38,10441.25
L900 (2).gen,2024-12-18 01:57:15.500	,MS1,106.78095598,-6.27982090,,367,-83.50,11.83,31817.00,17121.66
L900 (2).gen,2024-12-18 01:57:16.500	,MS1,106.78095409,-6.27981935,,367,-82.77,14.42,38216.06,11468.27
L900 (2).gen,2024-12-18 01:57:17.500	,MS1,106.78095257,-6.27981708,,367,-84.67,10.62,31135.49,9164.10
L900 (2).gen,2024-12-18 01:57:18.500	,MS1,106.78095246,-6.27981691,,367,-83.03,10.88,32265.49,10368.99
L900 (2).gen,2024-12-18 01:57:19.500	,MS1,106.78095246,-6.27981691,,367,-82.28,11.94,32261.36,9870.20
L900 (2).gen,2024-12-18 01:57:20.500	,MS1,106.78095246,-6.27981691,,367,-81.34,13.21,33496.93,11040.06
L900 (2).gen,2024-12-18 01:57:21.500	,MS1,106.78095246,-6.27981691,,367,-81.07,14.12,31761.30,10170.88
L900 (2).gen,2024-12-18 01:57:22.500	,MS1,106.78095246,-6.27981691,,367,-81.92,13.38,34539.01,8412.13
L900 (2).gen,2024-12-18 01:57:23.500	,MS1,106.78095246,-6.27981691,,367,-79.90,16.73,35571.22,6836.14
