Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09369691,-6.38918691,-85.79,2.0,15349.041032448376,10951.381842019011
107.09368673,-6.38918735,-83.71,4.0,15349.041032448376,10951.381842019011
107.09366501,-6.38918726,-85.17,0.0,15349.041032448376,10951.381842019011
107.09364055,-6.38918648,-84.49,0.0,15349.041032448376,10951.381842019011
107.09361677,-6.38918977,-82.89,-2.0,15349.041032448376,10951.381842019011
107.09359392,-6.38919491,-80.61,3.75,15349.041032448376,10951.381842019011
107.09357699,-6.38920081,-82.94,0.0,15349.041032448376,10951.381842019011
107.0935655,-6.38920546,-83.52,-0.67,15349.041032448376,10951.381842019011
107.09354998,-6.38921106,-82.39,9.5,15349.041032448376,10951.381842019011
107.09353246,-6.38921599,-82.24,6.0,15349.041032448376,10951.381842019011
107.09351808,-6.38921874,-83.8,8.25,15349.041032448376,10951.381842019011
107.09350252,-6.38922183,-88.08,2.0,15349.041032448376,10951.381842019011
107.09348664,-6.38922443,-91.33,3.5,15349.041032448376,10951.381842019011
107.09347417,-6.38922777,-91.42,3.25,10.11,13.35
107.09346298,-6.38923288,-88.16,1.75,23.55,17.94
107.09345802,-6.38924118,-84.99,1.0,17.21,23.33
107.09345368,-6.38925295,-81.78,1.5,1134.7,48.45
107.09344283,-6.38926531,-77.62,1.25,2220.6,1159.37
107.09343146,-6.38928624,-81.89,-1.25,3658.05,2295.56
107.0934257,-6.38930841,-82.78,-2.0,5764.59,2404.69
107.09342257,-6.38933476,-84.1,-4.25,475.16,1023.68
107.0934186,-6.38936815,-85.42,-5.25,4157.08,1829.48
107.0934125,-6.38939765,-89.68,-2.67,4788.08,1357.23
107.09340452,-6.38942778,-93.73,-5.25,6194.4,1602.37
107.0933967,-6.38945403,-85.15,-4.0,1514.89,1811.06
107.09338485,-6.38948419,-86.78,-16.0,8118.16,304.19
107.09337169,-6.38951274,-86.4,-14.0,4.99,395.32
107.09335604,-6.38953673,-84.02,-4.5,159.68,7483.05
107.09333928,-6.38955721,-80.88,2.0,903.05,13732.39
107.09332497,-6.38957539,-82.6,-0.33,67.54,138.36
107.09331061,-6.38958748,-81.25,2.75,596.41,3092.57
107.09329683,-6.38960073,-80.75,5.25,81.63,3437.82
107.09328338,-6.3896219,-89.81,0.75,661.64,2471.7
107.09327317,-6.38964287,-93.82,0.5,781.04,2391.36
107.09326725,-6.38966142,-95.39,-5.25,685.3,1673.77
107.0932662,-6.38967642,-93.58,1.75,2215.76,2005.81
107.09326734,-6.38968332,-91.04,-0.75,1022.08,590.89
107.09326751,-6.38968414,-93.34,2.33,1.47,11.83
107.09326751,-6.38968414,-93.48,2.25,1339.94,10403.32
107.09326751,-6.38968414,-91.3,1.0,5303.84,14019.97
107.09326751,-6.38968414,-92.28,0.5,10298.49,15563.69
107.09326751,-6.38968414,-91.58,2.5,18193.6,14106.28
107.09326751,-6.38968414,-92.22,3.75,19183.28,15755.18
107.09326751,-6.38968414,-91.5,4.5,14626.62,14972.77
107.09326751,-6.38968414,-90.68,4.33,20763.78,15554.3
107.09326751,-6.38968414,-90.99,1.75,15759.49,19440.22
107.09326751,-6.38968414,-93.03,1.25,17352.35,14899.98
107.09326751,-6.38968414,-92.12,0.0,19318.24,16085.44
107.09326751,-6.38968414,-93.1,3.25,12080.08,15613.8
107.09326751,-6.38968414,-93.24,3.5,9802.89,11966.2
107.09326751,-6.38968414,-92.61,4.5,5383.39,3177.05
107.09326751,-6.38968414,-91.23,0.75,11889.31,18205.39
107.09326751,-6.38968414,-98.0,-2.33,10879.14,16399.01
107.09326751,-6.38968414,-96.81,-2.5,11433.55,14365.94
107.09326751,-6.38968414,-97.84,-1.25,5434.8,11866.67
107.09326751,-6.38968414,-92.73,-1.75,3151.44,10224.29
107.09326287,-6.38968977,-92.7,-6.25,3311.39,4699.83
107.09325708,-6.38970234,-90.71,-1.5,0.0,0.0
107.09324968,-6.38971899,-90.48,-2.25,197.93,9811.89
107.09324235,-6.38973712,-93.85,5.0,221.37,16868.29
107.09323336,-6.38975726,-89.42,5.25,78.64,15.02
107.09322406,-6.38977928,-89.05,3.75,293.82,12304.13
107.09321628,-6.38980592,-98.46,-11.5,658.9,1472.64
107.0932099,-6.38982351,-100.75,-14.75,33.53,2.61
107.09320355,-6.38984083,-98.85,-17.5,0.0,11.21
107.09319637,-6.38986169,-97.38,-18.25,0.0,55.78
107.09318972,-6.389886,-97.07,-8.0,206.67,3402.95
107.09318398,-6.38990795,-91.89,4.5,1011.19,3130.43
107.093178,-6.38993271,-90.35,8.0,0.0,0.0
107.09317318,-6.38995428,-83.57,13.25,91.13,1345.49
107.09316733,-6.38997957,-79.67,13.0,293.05,2363.5
107.09316105,-6.39000241,-80.47,13.5,219.93,1699.36
107.09315473,-6.39002723,-80.4,14.0,378.93,2503.25
107.09314937,-6.39004708,-84.68,11.25,462.73,2441.69
107.09314334,-6.39006724,-85.77,10.67,617.51,964.58
107.09313824,-6.39008596,-87.49,7.75,582.44,1678.02
107.09313334,-6.39010112,-89.6,8.25,1736.58,2901.98
107.09312856,-6.39011557,-83.91,9.75,1932.35,1912.96
107.0931237,-6.39013277,-78.96,9.25,4343.25,2602.45
107.09311978,-6.39014652,-77.08,13.25,4272.77,2529.41
107.09311515,-6.39016022,-76.16,14.0,3729.54,2805.76
107.09311129,-6.39017028,-76.02,12.25,5746.3,2488.16
107.09310938,-6.39017574,-76.38,13.33,9238.87,2782.25
107.09310908,-6.39017673,-76.39,11.0,4994.83,2328.82
107.09310908,-6.39017673,-76.24,13.25,3806.82,2311.64
107.09310908,-6.39017673,-76.26,11.25,2217.72,2142.53
107.09310908,-6.39017673,-75.9,12.5,5478.16,2529.53
107.09310908,-6.39017673,-76.3,12.25,4184.87,2210.73
107.09310908,-6.39017673,-76.4,10.75,4613.5,2046.75
107.09310908,-6.39017673,-76.85,14.33,1911.64,2426.27
107.09310908,-6.39017673,-76.89,13.0,8359.99,2825.97
107.09310908,-6.39017673,-76.8,12.5,3820.61,2234.79
107.09310908,-6.39017673,-76.8,13.5,3147.14,2167.18
107.09310908,-6.39017673,-76.8,12.0,2987.16,2692.18
107.09310908,-6.39017673,-76.44,11.5,3312.38,2533.46
107.09310908,-6.39017673,-76.15,12.75,2911.62,2392.11
107.09310908,-6.39017673,-76.67,12.0,5084.55,2159.57
107.09310908,-6.39017673,-76.52,10.5,4251.94,2233.07
107.09310908,-6.39017673,-78.67,10.75,3858.71,2649.05
107.09310908,-6.39017673,-77.65,9.75,5085.73,2734.18
107.09310647,-6.39017948,-79.07,12.25,2493.02,1848.61
107.09309987,-6.3901848,-79.88,10.75,3115.23,3244.47
107.09308952,-6.39019281,-83.01,12.0,1326.08,4065.48
107.09307822,-6.39020583,-81.34,11.33,174.67,4426.1
107.09306432,-6.39022299,-82.12,10.75,2489.47,4858.88
107.09305184,-6.39023979,-81.52,10.25,1942.23,5703.75
