Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.78105366,-6.2795298,-79.97,16.939999999999998,6466.32,1305.74,Melakukan Optimasi MEC dan Carrier Aggregation,-73.61210000000001,21.73840000000001,8148.022920000008,4176.424500000002
106.78103605,-6.27957684,-82.71,13.71,38187.83,18531.59,Melakukan Optimasi Power Control,-82.23042500000004,13.321125000000018,37076.17645,17519.041954999997
106.78102093,-6.27962121,-82.36,12.33,33311.04,17557.79,Melakukan Optimasi Power Control,-81.19250500000003,12.60462499999998,33149.641420000014,18550.524439999997
106.78100691,-6.27966009,-78.61,14.880000000000004,34743.14,17339.38,Melakukan Optimasi Power Control,-78.72872000000001,15.142700000000008,34459.45649999997,18356.352525
106.78099451,-6.27969771,-76.1,19.21,35284.19,8119.099999999999,Melakukan Optimasi MEC dan Carrier Aggregation,-70.78190000000002,22.04839999999995,34903.685880000005,8204.788125000001
106.78098484,-6.27973062,-76.77,16.08,35223.02,13157.59,Melakukan Optimasi Power Control,-77.892315,15.879875000000004,45717.16568000001,8726.282389999998
106.78097451,-6.27976463,-78.85,15.439999999999996,33759.71,14329.57,Melakukan Optimasi Power Control,-78.47693499999998,15.86697500000002,35436.68293999998,16160.82099999999
106.78096658,-6.27979076,-84.34,9.560000000000002,26451.99,12206.87,Melakukan Optimasi MEC dan Carrier Aggregation,-78.97373500000002,14.991174999999968,33297.29255999999,13382.350274999992
106.78096059,-6.27980886,-81.43,13.539999999999996,10658.91,5737.5,Melakukan Optimasi MEC dan Carrier Aggregation,-76.17679999999997,18.614799999999967,12716.46684000002,7156.129625000014
106.7809563,-6.27982006,-81.71,12.13,10711.38,10441.25,Melakukan Optimasi MEC dan Carrier Aggregation,-76.1671,17.468699999999988,13351.935480000018,8227.363625000005
106.78095598,-6.2798209,-83.5,11.829999999999998,31817.0,17121.66,Melakukan Optimasi Power Control,-82.62249,12.53014999999998,33155.77209000003,18849.937234999998
106.78095409,-6.27981935,-82.77,14.419999999999996,38216.06,11468.27,Melakukan Optimasi Power Control,-83.35499999999999,14.077399999999995,47402.73511000001,8548.667435000001
106.78095257,-6.27981708,-84.67,10.619999999999996,31135.49,9164.1,Melakukan Optimasi MEC dan Carrier Aggregation,-78.03980000000001,15.892699999999996,34912.12524,12614.878249999994
106.78095246,-6.27981691,-83.03,10.880000000000004,32265.49,10368.99,Melakukan Optimasi MEC dan Carrier Aggregation,-77.19330000000002,16.202600000000007,36569.80788000004,12594.319374999995
106.78095246,-6.27981691,-82.28,11.94,32261.360000000004,9870.2,Melakukan Optimasi MEC dan Carrier Aggregation,-77.76990000000002,17.375799999999984,35717.48772000004,11981.682375
106.78095246,-6.27981691,-81.34,13.21,33496.93,11040.06,Melakukan Optimasi MEC dan Carrier Aggregation,-76.04150000000003,18.231299999999987,36194.69448000004,10493.493374999996
106.78095246,-6.27981691,-81.07,14.119999999999996,31761.3,10170.88,Melakukan Optimasi MEC dan Carrier Aggregation,-75.99520000000004,18.233,33217.50804000004,11280.590374999992
106.78095246,-6.27981691,-81.92,13.38,34539.01,8412.13,Melakukan Optimasi MEC dan Carrier Aggregation,-77.57400000000004,18.580099999999987,43638.11040000003,8293.589624999999
106.78095246,-6.27981691,-79.9,16.729999999999997,35571.22,6836.139999999999,Melakukan Optimasi MEC dan Carrier Aggregation,-73.04,20.677499999999966,34268.18532000001,8038.844999999997
106.78095246,-6.27981691,-79.44,16.459999999999997,28317.44,8211.13,Melakukan Optimasi MEC dan Carrier Aggregation,-72.28240000000001,20.287499999999977,30048.173279999995,10536.343624999998
106.78095246,-6.27981691,-80.42,15.579999999999997,31468.38,8210.75,Melakukan Optimasi MEC dan Carrier Aggregation,-73.24000000000002,19.65899999999997,32113.398360000007,10241.711999999994
106.78095246,-6.27981691,-80.11,15.579999999999997,22707.65,8022.38,Melakukan Optimasi MEC dan Carrier Aggregation,-72.81770000000002,19.99079999999998,27356.33244,10615.075875
106.78094884,-6.27981931,-77.48,16.669999999999998,37707.2,14286.850000000002,Melakukan Optimasi Power Control,-77.26733499999999,15.92107500000002,38805.15428999997,15852.733389999998
106.78094288,-6.27982899,-80.38,12.4,31700.42,9566.49,Melakukan Optimasi MEC dan Carrier Aggregation,-73.22550000000001,18.303999999999974,32078.24604000001,9783.32024999999
106.78093539,-6.27985196,-77.71,11.69,31275.32,9920.38,Melakukan Optimasi MEC dan Carrier Aggregation,-71.8738,16.41559999999999,33066.514200000005,10724.031749999996
106.78093455,-6.27988449,-76.06,10.999999999999998,24364.46,9030.63,Melakukan Optimasi MEC dan Carrier Aggregation,-71.4965,15.119099999999966,29748.340200000013,11911.896375000004
106.78094007,-6.27991758,-78.9,8.000000000000002,25424.45,11341.19,Melakukan Optimasi MEC dan Carrier Aggregation,-73.05140000000003,13.971599999999992,31479.004559999987,10688.338875
106.78094526,-6.27995327,-77.65,6.08,18987.83,12619.780000000002,Melakukan Optimasi MEC dan Carrier Aggregation,-72.78659999999999,11.86259999999998,23745.131039999986,7787.560875000006
106.78095485,-6.27998408,-76.03,8.710000000000003,21481.42,21274.43,Melakukan Optimasi MEC dan Carrier Aggregation,-73.956885,12.870624999999968,23539.721469999997,23931.393979999997
106.78096985,-6.28001889,-75.08,10.039999999999996,17333.39,22825.95,Melakukan Optimasi Power Control,-73.86847000000002,14.701349999999987,21136.844150000004,24996.70704499999
106.78098698,-6.28005563,-76.22,8.810000000000002,25283.86,24357.48,Melakukan Optimasi Power Control,-77.46891499999998,9.318375000000016,30868.21028,25662.934624999994
106.78100922,-6.28009906,-77.0,8.980000000000002,26904.54,24472.189999999995,Melakukan Optimasi Power Control,-77.29259999999998,11.0642,29763.03902,25268.016639999987
106.78103333,-6.28014263,-75.0,9.770000000000003,28031.1,24587.47,Melakukan Optimasi Power Control,-76.72099000000001,11.882949999999996,31323.592390000013,24582.376604999998
106.78105711,-6.28018568,-80.25,8.120000000000001,28555.64,17912.73,Melakukan Optimasi MEC dan Carrier Aggregation,-76.57956499999999,12.061225,32119.047169999994,21486.78815000001
106.78108281,-6.28022693,-81.24,7.380000000000001,23184.88,12219.01,Melakukan Optimasi MEC dan Carrier Aggregation,-75.4974,13.25319999999997,31212.82296,11957.525874999998
106.78111604,-6.28025944,-81.73,8.670000000000002,20539.27,22678.26,Melakukan Optimasi MEC dan Carrier Aggregation,-75.958025,13.217224999999972,21481.25168,25658.346109999988
106.78115952,-6.28028754,-88.71,3.67,17256.86,15459.13,Melakukan Optimasi Load Balancing dan Handover Tuning,-85.02723500000002,6.140874999999984,19167.403579999987,20691.601175
106.78121077,-6.2803135,-86.49,6.27,21143.18,15770.6,Melakukan Optimasi Load Balancing dan Handover Tuning,-84.24753499999997,8.700075000000002,23158.486040000036,20248.94814
106.78126661,-6.28033495,-89.11,5.69,21723.72,13406.53,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.16449999999998,8.110800000000003,22217.27882,13762.481939999996
106.78133417,-6.28035836,-90.01,3.5200000000000005,17545.22,7726.05,Melakukan Optimasi Load Balancing dan Handover Tuning,-87.0101,6.862599999999989,20465.176929999987,9514.773054999996
106.78139718,-6.28038242,-92.65,0.0,11659.53,7373.170000000001,Melakukan Optimasi Load Balancing dan Handover Tuning,-89.60459999999999,2.671199999999994,11568.978300000004,8344.496369999993
106.78146448,-6.28040546,-91.33,0.2500000000000002,9733.24,8770.94,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.8123,3.040999999999978,10663.2746,10417.91405499999
106.7815319,-6.2804256,-91.24,0.2700000000000002,10105.28,8623.65,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.79050000000001,2.984399999999974,10704.89101,10267.337309999992
106.78159612,-6.28045001,-92.06,0.6700000000000006,10604.83,9593.18,Melakukan Optimasi Load Balancing dan Handover Tuning,-89.16309999999999,3.2519999999999825,11019.128999999995,11796.655034999996
106.78166552,-6.28047734,-91.52,4.080000000000001,12961.63,13315.62,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.7321,6.7266999999999815,13717.79959,14216.126924999986
106.78172629,-6.28050367,-88.1,7.600000000000001,19826.27,22958.24,Melakukan Optimasi Load Balancing dan Handover Tuning,-85.02553499999998,9.36657499999999,20177.732130000008,25761.662559999997
106.78179253,-6.28052954,-88.69,8.270000000000001,21886.05,25208.66,Melakukan Optimasi Load Balancing dan Handover Tuning,-85.66610999999996,9.85614999999998,23134.50582,28333.92540499999
106.78185405,-6.28055446,-87.05,10.289999999999996,27388.9,27691.68,Melakukan Optimasi Power Control,-86.88429499999997,11.306175,29874.237610000004,27955.404525000013
106.78191879,-6.28057944,-86.1,11.419999999999998,18634.66,13870.24,Melakukan Optimasi MEC dan Carrier Aggregation,-80.08381000000001,17.02975,19672.039730000008,13483.929805000003
106.78198102,-6.28060188,-84.76,11.54,8312.13,16874.98,Melakukan Optimasi MEC dan Carrier Aggregation,-79.2812,17.447949999999985,18187.66744000001,22863.52923999999
106.78204359,-6.28062429,-82.12,12.92,16379.97,25632.29,Melakukan Optimasi Power Control,-78.59477000000001,17.450449999999986,18268.957240000007,25820.807614999994
106.7821007,-6.28064326,-85.24,8.980000000000002,13503.49,23832.7,Melakukan Optimasi MEC dan Carrier Aggregation,-82.37201499999998,11.989375000000008,19402.67042000001,26481.116494999995
106.78214729,-6.2806603,-86.04,11.099999999999998,15935.39,30764.17,Melakukan Optimasi Power Control,-82.69925500000001,13.482674999999984,21322.41889,28776.189629999997
106.78219612,-6.28067904,-88.25,9.810000000000002,20982.33,22957.390000000003,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.05223999999998,11.796599999999986,22983.991640000004,25229.548804999995
106.78225368,-6.28070053,-87.22,8.670000000000002,22630.43,19585.38,Melakukan Optimasi Load Balancing dan Handover Tuning,-84.67629999999998,9.95099999999998,23555.23927000001,22012.118374999995
106.78231687,-6.28072306,-84.89,10.710000000000004,21505.98,21324.37,Melakukan Optimasi MEC dan Carrier Aggregation,-79.5891,16.314199999999985,21928.185540000013,24166.591984999974
106.78238865,-6.28074776,-84.23,12.6,25004.89,25893.330000000005,Melakukan Optimasi Power Control,-83.1133,13.119199999999998,27825.50809000001,26721.04413500001
106.78245938,-6.28077176,-81.18,14.599999999999996,36123.15,28666.8,Melakukan Optimasi Power Control,-79.41743000000002,14.136049999999983,36368.45691999998,24730.71285000001
106.78253391,-6.2807954,-77.43,16.869999999999997,36407.32,21568.96,Melakukan Optimasi Power Control,-77.87243000000001,15.520450000000006,35948.506839999965,21754.172725
106.78261273,-6.28082026,-71.59,20.25,52293.43,26508.3,Melakukan Optimasi Power Control,-72.31509999999999,20.825100000000003,50602.169400000006,26246.982300000032
106.78269256,-6.28084511,-72.01,19.62,40588.24,23769.51,Melakukan Optimasi Power Control,-71.55878999999999,18.63645000000001,41106.60150000001,25254.850800000026
106.78276828,-6.28086822,-72.03,19.58,45526.33,25715.88,Melakukan Optimasi Power Control,-71.99953,19.21965,43374.52142000002,26433.32667500002
106.78284658,-6.28089346,-70.47,20.19,45098.4,23856.35,Melakukan Optimasi Power Control,-70.19135999999999,20.256000000000007,43234.10235999998,25147.437925000017
106.782919,-6.28091804,-72.11,17.83,41797.5,23298.94,Melakukan Optimasi Power Control,-73.72246000000001,16.16260000000001,41577.29078000001,24910.554925000022
106.7829899,-6.28094195,-69.62,21.31,55212.92,27365.59,Melakukan Optimasi Power Control,-70.20480000000002,22.842100000000023,56316.64109999999,26943.287500000024
106.7830614,-6.28096617,-66.23,23.480000000000004,62491.880000000005,25113.26,Melakukan Optimasi Power Control,-69.05040000000001,23.531300000000037,61414.15080000002,27134.194200000034
106.78312973,-6.28099033,-64.18,22.17,57871.92,24432.08,Melakukan Optimasi Power Control,-69.14750000000002,23.399500000000025,58236.774,26940.061300000038
106.78319788,-6.28101442,-66.25,21.08,52369.87,22403.2,Melakukan Optimasi Power Control,-70.66623,21.38064999999998,50592.19303999999,24965.058150000023
106.78327187,-6.28103909,-65.64,21.290000000000003,53455.5,26158.42,Melakukan Optimasi Power Control,-70.68810000000003,21.6169,51346.91849999999,26250.42930000002
106.78334375,-6.28106312,-67.4,20.42,47845.63,25137.2,Melakukan Optimasi Power Control,-70.21030000000002,20.6368,47874.56799999998,25677.147700000027
106.7834207,-6.28108696,-67.1,19.42,49414.78,20724.53,Melakukan Optimasi Power Control,-71.54902999999997,20.13645,48476.01454,24321.11825000002
106.78349601,-6.2811121,-68.33,18.46,42067.95,22684.71,Melakukan Optimasi Power Control,-71.11883,18.51715000000001,42162.51064000001,24265.034250000022
106.78356638,-6.28113583,-71.67,15.599999999999996,40537.5,27119.52,Melakukan Optimasi Power Control,-73.75932999999999,15.27725000000001,40901.217540000005,27699.35245000003
106.78363181,-6.28115866,-66.8,18.25,52477.95,25461.78,Melakukan Optimasi Power Control,-72.1039,18.65340000000001,48428.26419999999,25414.644900000025
106.7836924,-6.28117994,-65.73,20.62,53888.35,25258.800000000003,Melakukan Optimasi Power Control,-70.52160000000003,21.77940000000001,52767.15639999999,26079.944300000025
106.78374767,-6.28119832,-67.67,17.65,39082.19,21796.17,Melakukan Optimasi Power Control,-72.43633,17.49725000000001,39038.89954,23415.650550000013
106.78380015,-6.28121568,-68.49,16.689999999999998,38737.25,26693.919999999995,Melakukan Optimasi Power Control,-72.81072999999999,16.29725000000001,40115.52734,26948.499850000026
106.78384697,-6.28123179,-64.03,17.209999999999997,43222.14,23476.26,Melakukan Optimasi Power Control,-73.18672999999998,16.26635000000001,43468.87314,24313.717950000017
106.78388322,-6.28124454,-60.54,15.629999999999995,38728.24,19850.32,Melakukan Optimasi Power Control,-73.89872,16.011000000000003,38995.40767999999,22239.31925000001
106.7839131,-6.28125387,-60.19,13.46,31029.72,22660.71,Melakukan Optimasi Power Control,-74.61098000000001,14.657000000000007,33803.661960000005,22464.936274999996
106.78393321,-6.28126189,-63.12,13.52,29389.32,25939.86,Melakukan Optimasi Power Control,-74.13674,15.462099999999998,31719.618120000017,23747.440775000003
106.78395104,-6.28126623,-61.99,13.52,31390.88,23768.130000000005,Melakukan Optimasi Power Control,-74.62704,14.406999999999991,34389.11054000001,23449.036900000003
106.78397279,-6.28126499,-63.18000000000001,13.08,23945.81,23848.92,Melakukan Optimasi Power Control,-73.68994000000005,15.771100000000004,27071.285760000017,22477.751495000022
106.78399538,-6.28125432,-67.46,11.38,23505.87,18382.03,Melakukan Optimasi MEC dan Carrier Aggregation,-72.22808500000001,16.533524999999987,26090.99086,21019.58172500001
106.7840175,-6.28123117,-69.77,3.0,15749.250000000002,17025.12,Melakukan Optimasi MEC dan Carrier Aggregation,-75.66371,8.908749999999985,20624.73024,23567.77777500001
106.78403892,-6.28119262,-63.50999999999999,10.210000000000004,21640.77,27676.669999999995,Melakukan Optimasi Power Control,-75.89965000000001,14.24055000000001,24144.61305,25917.821715
106.78405259,-6.28114103,-69.23,13.06,25580.63,28136.7,Melakukan Optimasi Power Control,-74.63729000000004,15.453150000000011,29702.52976,24786.34102000001
106.78406371,-6.28108467,-70.32,12.92,29633.38,21294.93,Melakukan Optimasi Power Control,-74.29959000000002,15.057449999999996,30909.78596000001,21175.045599999998
106.78407811,-6.28102564,-70.21,16.229999999999997,26254.58,23196.68,Melakukan Optimasi Power Control,-72.73898000000004,17.565400000000015,28311.865419999995,21231.153024999992
106.78409456,-6.28096079,-69.44,18.0,33540.19,31079.460000000003,Melakukan Optimasi Power Control,-72.07745000000001,17.91065,35797.54690000001,25133.91790000002
106.7841107,-6.280903,-68.12,18.48,32889.79,16754.9,Melakukan Optimasi Power Control,-71.46362,18.6833,34277.245420000014,20742.37045
106.784124,-6.28084593,-69.88,17.619999999999997,33151.15,23457.3,Melakukan Optimasi Power Control,-72.91964,17.1653,35786.90540000001,23171.52360000001
106.78413966,-6.28078679,-68.04,22.230000000000004,38674.39,24441.54,Melakukan Optimasi Power Control,-69.37802999999997,20.258150000000025,40338.37443999998,24405.511750000016
106.78415371,-6.28073149,-68.91,23.460000000000004,36652.66,26856.02,Melakukan Optimasi Power Control,-69.56626,21.126900000000028,37074.81416,27749.807525000026
106.7841683,-6.28067305,-69.44,21.96,39540.63,23296.8,Melakukan Optimasi Power Control,-69.94122999999998,20.10815000000003,40106.45494,24124.768950000016
