Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.79304017,-6.15473448,-74.47,15.499999999999996,31632.270000000004,8665.89,Melakukan Optimasi MEC dan Carrier Aggregation,-69.60990000000002,20.757499999999983,32382.46799999998,10935.90025
106.79304017,-6.15473448,-71.55,19.5,7934.500000000001,994.66,Melakukan Optimasi MEC dan Carrier Aggregation,-65.67019999999997,24.73770000000002,9641.210040000004,5319.018374999998
106.79304017,-6.15473448,-69.62,14.999999999999996,17888.88,6978.180000000001,Melakukan Optimasi MEC dan Carrier Aggregation,-67.97850000000004,20.0991,24876.948119999972,8025.302375000001
106.79304017,-6.15473448,-70.79,17.25,21358.51,10528.13,Melakukan Optimasi MEC dan Carrier Aggregation,-69.0496,21.48080000000001,27384.79583999999,9726.588000000003
106.79304017,-6.15473448,-73.74,14.999999999999996,24362.68,6095.25,Melakukan Optimasi MEC dan Carrier Aggregation,-69.11060000000005,20.62500000000003,28613.68571999997,8758.1025
106.79304017,-6.15473448,-73.64,16.33,30170.82,5285.71,Melakukan Optimasi MEC dan Carrier Aggregation,-68.73410000000003,20.800000000000008,30624.77459999998,8127.099375000005
106.79304017,-6.15473448,-74.04,14.499999999999996,35049.82,5744.42,Melakukan Optimasi MEC dan Carrier Aggregation,-70.01770000000005,20.90329999999999,33859.914240000006,7397.852875000003
106.79304017,-6.15473448,-74.8,15.749999999999996,35895.19,5988.090000000001,Melakukan Optimasi MEC dan Carrier Aggregation,-69.90960000000004,21.018299999999986,33493.65756,7783.622750000004
106.79304017,-6.15473448,-74.45,14.999999999999996,30930.53,8396.3,Melakukan Optimasi MEC dan Carrier Aggregation,-69.56170000000002,20.4475,31930.54955999998,10207.245375
106.79304017,-6.15473448,-76.06,13.5,14100.69,3670.39,Melakukan Optimasi MEC dan Carrier Aggregation,-71.05379999999998,18.930699999999984,12988.886520000004,4078.356624999997
106.79304017,-6.15473448,-76.55,13.5,29174.85,12990.21,Melakukan Optimasi MEC dan Carrier Aggregation,-71.04157000000001,19.741950000000003,31242.900479999997,11373.563800000002
106.79304017,-6.15473448,-74.91,15.669999999999996,29764.96,7797.26,Melakukan Optimasi MEC dan Carrier Aggregation,-69.50110000000002,20.57,31295.64023999997,10108.735625000005
106.79304017,-6.15473448,-74.41,14.000000000000002,25929.29,10607.34,Melakukan Optimasi MEC dan Carrier Aggregation,-69.50480000000003,19.87989999999999,30615.947279999986,11201.173
106.79304017,-6.15473448,-74.56,13.0,20294.1,6028.42,Melakukan Optimasi MEC dan Carrier Aggregation,-69.65530000000004,19.162399999999995,26159.339039999995,8074.553125
106.79304017,-6.15473448,-76.24,11.249999999999998,18555.93,9497.5,Melakukan Optimasi MEC dan Carrier Aggregation,-71.24880000000002,14.923299999999976,22402.77504,9735.969625000003
