Longitude,Latitude,RSRP(dBm),RSRP(dBm)_after
106.79304017,-6.15473448,-74.47,-69.60990000000002
106.79304017,-6.15473448,-71.55,-65.67019999999997
106.79304017,-6.15473448,-69.62,-67.97850000000004
106.79304017,-6.15473448,-70.79,-69.0496
106.79304017,-6.15473448,-73.74,-69.11060000000005
106.79304017,-6.15473448,-73.64,-68.73410000000003
106.79304017,-6.15473448,-74.04,-70.01770000000005
106.79304017,-6.15473448,-74.8,-69.90960000000004
106.79304017,-6.15473448,-74.45,-69.56170000000002
106.79304017,-6.15473448,-76.06,-71.05379999999998
106.79304017,-6.15473448,-76.55,-71.04157000000001
106.79304017,-6.15473448,-74.91,-69.50110000000002
106.79304017,-6.15473448,-74.41,-69.50480000000003
106.79304017,-6.15473448,-74.56,-69.65530000000004
106.79304017,-6.15473448,-76.24,-71.24880000000002
106.79304017,-6.15473448,-74.9,-70.26800000000004
106.79304017,-6.15473448,-76.1,-70.85740000000003
106.79304017,-6.15473448,-75.22,-69.37720000000004
106.79304017,-6.15473448,-75.32,-69.83930000000002
106.79304017,-6.15473448,-75.95,-70.81169999999996
106.79304017,-6.15473448,-75.81,-70.26927000000002
106.79304017,-6.15473448,-74.96,-70.08220000000003
106.79304017,-6.15473448,-74.35,-69.74600000000001
106.79304017,-6.15473448,-75.15,-69.91580000000005
106.79304017,-6.15473448,-73.61,-69.42390000000003
106.79304017,-6.15473448,-75.48,-70.11010000000003
106.79304017,-6.15473448,-76.15,-70.88910000000003
106.79304017,-6.15473448,-77.96,-71.5708
106.79304017,-6.15473448,-76.4,-70.30739999999999
106.79304017,-6.15473448,-73.12,-67.04809999999996
106.79304017,-6.15473448,-71.85,-66.36649999999999
106.79304017,-6.15473448,-73.55,-67.58619999999999
106.79304017,-6.15473448,-74.5,-68.92279999999997
106.79304017,-6.15473448,-75.47,-69.93660000000001
106.79304017,-6.15473448,-75.07,-69.22649999999996
106.79304017,-6.15473448,-75.16,-69.11469999999997
106.79304017,-6.15473448,-72.7,-67.08349999999993
106.79304017,-6.15473448,-72.49,-66.69559999999998
106.79304017,-6.15473448,-73.83,-68.01479999999998
106.79304017,-6.15473448,-72.09,-66.80549999999997
106.79304017,-6.15473448,-72.43,-67.08049999999997
106.79304017,-6.15473448,-74.63,-70.23710000000004
106.79304017,-6.15473448,-73.79,-67.77129999999997
106.79304017,-6.15473448,-74.11,-68.10789999999996
106.79304017,-6.15473448,-73.65,-67.33849999999995
106.79304017,-6.15473448,-72.86,-66.82139999999998
106.79304017,-6.15473448,-73.32,-66.79389999999997
106.79304151,-6.15473334,-73.3,-67.219
106.79304843,-6.15472961,-68.55,-62.8067
106.79305721,-6.15472427,-73.8,-67.14809999999999
106.79306668,-6.15471428,-72.56,-66.74369999999996
106.79307778,-6.15470311,-74.77,-69.3975
106.79308903,-6.15468808,-72.12,-66.61439999999999
